measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,1990,162675.209,207942.3494,121841.5937
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,1990,91114.76546,125431.9894,61073.95929
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,1990,71560.44356,102278.0819,46439.05644
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,1990,35805.76378,68506.6414,6984.020544
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,1990,634826.5493,674034.5929,602579.1202
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1990,626585.3878,665419.3928,594185.542
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,1990,41555.62816,61716.82914,25220.48146
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,1990,49981.67735,118885.4852,8133.495456
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,1990,35553.7511,53114.94972,11606.22903
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,1990,35553.7511,53114.94972,11606.22903
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Environmental/occupational risks,Number,1990,309970.3038,361178.8059,257287.1329
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,1990,162675.209,207942.3494,121841.5937
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,1990,57276.93195,73488.85605,42646.42441
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,1990,27321.64278,38135.31659,17696.83467
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,1990,29955.28916,41953.98464,20476.57731
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,1990,11760.46154,22658.52647,2311.661183
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,1990,135425.9211,145096.4109,125833.966
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1990,121322.2502,128214.7455,113846.9744
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,1990,21829.02513,32298.33486,13188.41911
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,1990,17282.04913,41144.83092,3229.805883
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,1990,12833.56317,19213.39203,4162.834533
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,1990,12833.56317,19213.39203,4162.834533
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Environmental/occupational risks,Number,1990,83572.44052,101525.2256,67625.10111
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,1990,57276.93195,73488.85605,42646.42441
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,1993,170866.207,215686.3802,127796.0386
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,1993,99435.07715,135112.5738,67692.08115
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,1993,71501.96901,100976.5088,47202.84265
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,1993,38423.79919,73737.49478,7343.977485
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,1993,681010.9712,713079.9894,649953.5074
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1993,672403.876,703630.9591,641810.1666
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,1993,43407.93244,63486.45396,26199.18969
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,1993,54253.09461,128766.2467,8703.144614
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,1993,38059.68603,56764.41839,12147.55094
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,1993,38059.68603,56764.41839,12147.55094
