measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1990,626585.3877556678,665419.3927997713,594185.5420302523
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1990,704983.0633862267,750385.6857165607,668428.2954183837
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1990,121322.25020581263,128214.74551886955,113846.97443565125
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1990,191596.3862193208,206800.57245636365,177188.41067819507
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1990,0.7924254694089989,0.8063725178940162,0.7782745658142043
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1990,0.8915565723124563,0.9066906860343067,0.8759075189828884
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1990,0.4423228185525896,0.465350396350478,0.41721779911575874
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1990,0.6982934536527075,0.7398760172146269,0.6575188477425088
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1993,672403.8760002125,703630.9591227276,641810.1666320242
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1993,755768.192129609,791430.2217324894,721809.8926478293
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1993,134818.46061446736,142523.10909040616,127042.50436771662
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1993,211125.6455702782,229602.83456268633,196153.01488239493
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1993,0.7927447829171642,0.8063231623349406,0.7790270689792224
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1993,0.8910157510263639,0.90643641088403,0.8753710421817806
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1993,0.44497729372484984,0.4663974062027584,0.4221228775289782
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1993,0.696649900789298,0.7373313795976287,0.6571995670588064
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1994,685528.325896324,715191.7404047145,655207.3523730816
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1994,770526.8851527126,806024.3454249924,737529.7100974375
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1994,138791.11934113636,146804.9758754608,130242.56644883922
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1994,216816.48134199186,233642.557504423,200385.28387508442
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1994,0.7924304665828421,0.806247401512692,0.7783480817975605
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1994,0.8906738929937458,0.9060119616756795,0.8748618535739415
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1994,0.4454563905429947,0.46684656170683164,0.4228411928175606
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1994,0.6957307186486525,0.7374131271018272,0.656434333511522
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1998,712348.2029277192,740432.7069160892,683246.5260801212
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1998,802523.7858138314,835079.8525260646,771410.0014024456
